,service_code,service_code_desc,add_date,resolution_date,service_due_date,service_order_date,priority,street_address,zipcode,ward
105,S0000,Abandoned Vehicle - On Public Property,2023/03/20 14:52:16+00,2023/03/22 14:27:05+00,2023/04/06 14:52:16+00,2023/03/20 14:52:16+00,1,4114 DAVIS PLACE NW,20007,3
106,S0000,Abandoned Vehicle - On Public Property,2023/03/20 14:47:38+00,2023/03/22 14:15:05+00,2023/04/06 14:47:38+00,2023/03/20 14:47:38+00,1,216 OKLAHOMA AVENUE NE,20002,7
107,S0000,Abandoned Vehicle - On Public Property,2023/03/20 15:38:12+00,2023/03/23 13:03:38+00,2023/04/06 15:38:12+00,2023/03/20 15:38:12+00,1,3701 PORTER STREET NW,20016,3
108,S0000,Abandoned Vehicle - On Public Property,2023/03/20 13:53:48+00,2023/03/21 11:54:43+00,2023/04/06 13:53:48+00,2023/03/20 13:53:48+00,1,230 11TH STREET NE,20002,6
109,S0000,Abandoned Vehicle - On Public Property,2023/03/20 14:24:15+00,2023/03/24 12:29:45+00,2023/04/06 14:24:15+00,2023/03/20 14:24:15+00,1,1700 GALES STREET NE,20002,7
110,S0000,Abandoned Vehicle - On Public Property,2023/03/20 16:55:10+00,2023/04/10 18:42:05+00,2023/04/06 16:55:10+00,2023/03/20 16:55:10+00,1,5006 JUST STREET NE,20019,7
111,S0000,Abandoned Vehicle - On Public Property,2023/03/20 17:01:26+00,2023/03/21 14:06:05+00,2023/04/06 17:01:26+00,2023/03/20 17:01:26+00,1,200 OKLAHOMA AVENUE NE,20002,7
112,S0000,Abandoned Vehicle - On Public Property,2023/03/20 17:28:05+00,2023/03/21 14:30:05+00,2023/04/06 17:28:05+00,2023/03/20 17:28:05+00,1,1336 S STREET NW,20009,2
113,S0000,Abandoned Vehicle - On Public Property,2023/03/20 17:52:56+00,2023/03/22 12:31:31+00,2023/04/06 17:52:56+00,2023/03/20 17:52:56+00,1,101 10TH STREET NE,20002,6
114,S0000,Abandoned Vehicle - On Public Property,2023/03/20 16:02:35+00,2023/03/21 14:06:13+00,2023/04/06 16:02:35+00,2023/03/20 16:02:35+00,1,208 OKLAHOMA AVENUE NE,20002,7
115,S0000,Abandoned Vehicle - On Public Property,2023/03/20 16:09:02+00,2023/03/22 12:27:47+00,2023/04/06 16:09:02+00,2023/03/20 16:09:02+00,1,2321 LINCOLN ROAD NE,20002,5
117,S0000,Abandoned Vehicle - On Public Property,2023/03/20 18:46:32+00,2023/03/21 16:12:06+00,2023/04/06 18:46:31+00,2023/03/20 18:46:32+00,1,64 SHERIDAN STREET NE,20011,4
118,S0000,Abandoned Vehicle - On Public Property,2023/03/20 19:13:06+00,2023/03/22 17:36:05+00,2023/04/06 19:13:06+00,2023/03/20 19:13:06+00,1,1105 N STREET NW,20005,2
119,S0000,Abandoned Vehicle - On Public Property,2023/03/20 19:21:01+00,2023/03/29 17:51:14+00,2023/04/06 19:21:01+00,2023/03/20 19:21:01+00,1,3432 10TH PLACE SE,20032,8
120,S0000,Abandoned Vehicle - On Public Property,2023/03/20 23:34:01+00,2023/03/21 18:21:13+00,2023/04/06 23:34:01+00,2023/03/20 23:34:01+00,1,4207 7TH STREET NW,20011,4
121,S0000,Abandoned Vehicle - On Public Property,2023/03/20 23:59:32+00,2023/03/31 14:30:13+00,2023/04/06 23:59:32+00,2023/03/20 23:59:32+00,1,1315 CLIFTON STREET NW,20009,1
122,S0000,Abandoned Vehicle - On Public Property,2023/03/21 00:04:42+00,2023/03/27 15:42:05+00,2023/04/07 00:04:42+00,2023/03/21 00:04:42+00,1,1686 EUCLID STREET NW,20009,1
123,S0000,Abandoned Vehicle - On Public Property,2023/03/21 01:53:12+00,2023/03/27 15:24:05+00,2023/04/07 01:53:12+00,2023/03/21 01:53:12+00,1,1400 EUCLID STREET NW,20009,1
124,S0000,Abandoned Vehicle - On Public Property,2023/03/20 19:45:46+00,2023/04/14 14:30:05+00,2023/04/06 19:45:46+00,2023/03/20 19:45:46+00,1,4631 HILLTOP TERRACE SE,20019,7
125,S0000,Abandoned Vehicle - On Public Property,2023/03/20 20:26:00+00,2023/03/22 13:45:05+00,2023/04/06 20:26:00+00,2023/03/20 20:26:00+00,1,3704 33RD PLACE NW,20008,3
126,S0000,Abandoned Vehicle - On Public Property,2023/03/20 21:03:40+00,2023/03/21 15:36:04+00,2023/04/06 21:03:40+00,2023/03/20 21:03:40+00,1,5719 3RD STREET NE,20011,4
127,S0000,Abandoned Vehicle - On Public Property,2023/03/20 21:42:35+00,2023/03/22 16:57:06+00,2023/04/06 21:42:35+00,2023/03/20 21:42:35+00,1,1418 CORCORAN STREET NW,20009,2
128,S0000,Abandoned Vehicle - On Public Property,2023/03/20 22:00:31+00,2023/03/22 18:36:18+00,2023/04/06 22:00:31+00,2023/03/20 22:00:31+00,1,1500 P STREET NW,20005,2
129,S0000,Abandoned Vehicle - On Public Property,2023/03/21 11:27:34+00,2023/03/22 13:57:13+00,2023/04/07 11:27:34+00,2023/03/21 11:27:34+00,1,800 DELAFIELD PLACE NW,20011,4
130,S0000,Abandoned Vehicle - On Public Property,2023/03/21 11:43:13+00,2023/04/04 13:30:06+00,2023/04/07 11:43:13+00,2023/03/21 11:43:13+00,1,200 - 299 BLOCK OF SEATON PLACE NE,20002,5
131,S0000,Abandoned Vehicle - On Public Property,2023/03/21 12:24:13+00,2023/03/27 13:48:38+00,2023/04/07 12:24:13+00,2023/03/21 12:24:13+00,1,4013 BLAINE STREET NE,20019,7
133,S0000,Abandoned Vehicle - On Public Property,2023/03/21 16:49:14+00,2023/04/10 19:15:05+00,2023/04/07 16:49:14+00,2023/03/21 16:49:14+00,1,5342 JAMES PLACE NE,20019,7
134,S0000,Abandoned Vehicle - On Public Property,2023/03/21 16:59:33+00,2023/03/28 16:12:06+00,2023/04/07 16:59:33+00,2023/03/21 16:59:33+00,1,513 HILLTOP TERRACE SE,20019,7
136,S0000,Abandoned Vehicle - On Public Property,2023/03/21 17:10:53+00,2023/03/22 15:15:06+00,2023/04/07 17:10:53+00,2023/03/21 17:10:53+00,1,1735 FRASER COURT NW,20009,2
137,S0000,Abandoned Vehicle - On Public Property,2023/03/21 12:54:47+00,2023/03/23 15:45:13+00,2023/04/07 12:54:47+00,2023/03/21 12:54:47+00,1,3229 15TH PLACE SE,20020,8
138,S0000,Abandoned Vehicle - On Public Property,2023/03/21 12:56:35+00,2023/03/22 15:48:05+00,2023/04/07 12:56:35+00,2023/03/21 12:56:35+00,1,1524 2ND STREET SW,20024,6
139,S0000,Abandoned Vehicle - On Public Property,2023/03/21 13:30:04+00,2023/03/25 11:51:05+00,2023/04/07 13:30:04+00,2023/03/21 13:30:04+00,1,776 KENILWORTH TERRACE NE,20019,7
140,S0000,Abandoned Vehicle - On Public Property,2023/03/21 13:35:26+00,2023/04/11 12:47:32+00,2023/04/07 13:35:25+00,2023/03/21 13:35:26+00,1,2703 JAMES M MCGEE JR STREET SE,20020,8
141,S0000,Abandoned Vehicle - On Public Property,2023/03/21 13:40:47+00,2023/03/21 13:41:57+00,2023/04/07 13:40:47+00,2023/03/21 13:40:47+00,1,1500 - 1599 BLOCK OF 19TH STREET SE,20020,8
